sku_norm,price_sheet_sku_raw,price_sheet_price_each,price_sheet_case_pack,price_sheet_case_cost,bc_sku_raw,bc_type,bc_product_id,bc_variant_id,bc_price,bc_cost_price,bc_name
BMT06,BMT06,$7.75 EA / $93.00 CS,,,BMT06,product,110187,,130.2,93,KARTRI| RUBBER BATH MATS 29X13 1/2 WHITE OR BEIGE PACK OF 12
EZ-DY74-1WSL,EZ-DY74-1WSL,20.8,12,249.60000000000002,EZ-DY74-1WSL,variant,111407,105872,349.44,249.6,
EZ-DYCHR77-1-WSLN,EZ-DYCHR77-1-WSLN,26,12,312,EZ-DYCHR77-1-WSLN,variant,111407,105874,416.64,297.6,
EZ-DYWB74-1,EZ-DYWB74-1,14.4,12,172.8,EZ-DYWB74-1,variant,111407,105870,241.92,172.8,
EZ-DYWB74-1-W,EZ-DYWB74-1-W,15.9,12,190.8,EZ-DYWB74-1-W,variant,111407,105871,267.12,190.8,
EZ-DYWB77-1-WSLN,EZ-DYWB77-1-WSLN,22,12,264,EZ-DYWB77-1-WSLN,variant,111407,105873,369.6,264,
EZ-EP74-1-C-WSLN,EZ-EP74-1-C-WSLN,31.5,12,378,EZ-EP74-1-C-WSLN,variant,110180,102959,480.48,0,
EZ-EP74-1-SLN,EZ-EP74-1-SLN,29.9,12,358.79999999999995,EZ-EP74-1-SLN,variant,110180,102956,447.72,0,
EZ-EP74-1-W-WSLN,EZ-EP74-1-W-WSLN,27.4,12,328.79999999999995,EZ-EP74-1-W-WSLN,variant,110180,102961,441.84,0,
EZ-EP74-2-SLN,EZ-EP74-2-SLN,29.9,12,358.79999999999995,EZ-EP74-2-SLN,variant,110180,102957,447.72,0,
EZ-EP77-1-C-WSLN,EZ-EP77-1-C-WSLN,32.7,12,392.40000000000003,EZ-EP77-1-C-WSLN,variant,110180,102960,500.64,0,
EZ-EP77-1-SLN,EZ-EP77-1-SLN,30.5,12,366,EZ-EP77-1-SLN,variant,110180,102958,468.72,0,
EZ-REPPD74-1,EZ-REPPD74-1,10.7,12,128.39999999999998,EZ-REPPD74-1,variant,112521,105878,179.76,128.4,
EZ-REPPD77-1,EZ-REPPD77-1,11.15,12,133.8,EZ-REPPD77-1,variant,112521,105879,187.32,133.8,
EZ-RL1-74,EZ-RL1-74,7.4,12,88.80000000000001,EZ-RL1-74,variant,112521,105880,113.4,81,
EZ-RL1-77,EZ-RL1-77,7.65,12,91.80000000000001,EZ-RL1-77,variant,112521,105881,128.52,91.8,
EZ-RL1-DW74,EZ-RL1-DW74,8.2,12,98.39999999999999,EZ-RL1-DW74,variant,112521,105876,130.2,93,
EZ-RL1-DW80,EZ-RL1-DW80,8.6,12,103.19999999999999,EZ-RL1-DW80,variant,112521,105877,136.08,97.2,
EZ-RL1-H74,EZ-RL1-H74,8.65,12,103.80000000000001,EZ-RL1-H74,variant,112521,105884,135.24,96.6,
EZ-RL1-H77,EZ-RL1-H77,8.75,12,105,EZ-RL1-H77,variant,112521,105885,142.8,102,
EZ-RL2-74,EZ-RL2-74,7.4,12,88.80000000000001,EZ-RL2-74,variant,112521,105882,113.4,81,
EZ-RL2-77,EZ-RL2-77,7.65,12,91.80000000000001,EZ-RL2-77,variant,112521,105883,128.52,91.8,
EZ-RL2-H74,EZ-RL2-H74,8.65,12,103.80000000000001,EZ-RL2-H74,variant,112521,105886,135.24,96.6,
KA2000,KA2000,1.6,,,KA2000,variant,110197,59233,18.48,13.2,
KA255,KA255,2.2,,,KA255,variant,110198,59234,10.64,7.6,
KA3000,KA3000,1.8,,,KA3000,product,110196,,3.98,22,Kartri KA3000 Plastic Double Open End Shower Curtain Hooks - Pack of 12
KA412R,KA412R,10.8,,,KA412R,variant,110201,59237,167.88,0,
KA5000,KA5000,1.8,,,KA5000,product,110195,,30.24,21.6,KARTRI| PLASTIC| OPEN END| SHOWER CURTAIN HOOKS PACK OF 12
KA711,KA711,1.55,,,KA711,variant,110193,59228,26.04,18.6,
KA9100,KA9100,1.8,,,KA9100,variant,110194,59229,30.24,21.6,
KASS151,KASS151,8,,,KASS151,variant,110199,59235,11.2,8,
KASS256,KASS256,8.8,,,KASS256,variant,110200,59236,12.32,8.8,
QIMPDDK,QIMPDDK,43.75,6,262.5,QIMPDDK,variant,112466,105043,275.52,0,
QIMPDDQ,QIMPDDQ,39.4,8,315.2,QIMPDDQ,variant,112466,105042,321.44,0,
QIMPDDT,QIMPDDT,33.4,10,334,QIMPDDT,variant,112466,105041,290.92,0,
SL2940M,SL2940M,3.45,25,86.25,SL2940M,variant,110191,96257,101.5,72.5,
SL2940W,SL2940W,2.75,25,68.75,SL2940W,variant,110191,96256,96.25,68.75,
SL2941,SL2941,1.95,25,48.75,SL2941,product,110191,,107.5,0,Kartri Bath Slippers | Pack Of 25 - ALL STYLES!
SL2941-1-CT,SL2941-1-CT,2,25,50,SL2941-1-CT,variant,110191,96255,70,50,
SV3C5MB-1,SV3C5MB-1,2.15,100,215,SV3C5MB-1,variant,110191,96258,301,215,
