sku_norm,sku_raw,bc_type,bc_product_id,bc_variant_id,case_qty,sku_unit_cost,ahs_unit_sales,price_source,bc_price_old,bc_cost_old,new_price,new_cost_price,applied,status,error
EZ-DY74-1WSL,EZ-DY74-1WSL,variant,111407,105872,12,20.8,30.16,ahscompany_sales_x_case_qty,349.44,249.6,361.92,249.60000000000002,True,ok,
EZ-DYCHR77-1-WSLN,EZ-DYCHR77-1-WSLN,variant,111407,105874,12,26,37.7,ahscompany_sales_x_case_qty,416.64,297.6,452.40000000000003,312,True,ok,
EZ-DYWB74-1,EZ-DYWB74-1,variant,111407,105870,12,14.4,20.88,ahscompany_sales_x_case_qty,241.92,172.8,250.56,172.8,True,ok,
EZ-DYWB74-1-W,EZ-DYWB74-1-W,variant,111407,105871,12,15.9,23.06,ahscompany_sales_x_case_qty,267.12,190.8,276.71999999999997,190.8,True,ok,
EZ-DYWB77-1-WSLN,EZ-DYWB77-1-WSLN,variant,111407,105873,12,22,31.9,ahscompany_sales_x_case_qty,369.6,264,382.79999999999995,264,True,ok,
EZ-EP74-1-C-WSLN,EZ-EP74-1-C-WSLN,variant,110180,102959,12,31.5,45.68,ahscompany_sales_x_case_qty,480.48,0,548.16,378,True,ok,
EZ-EP74-1-SLN,EZ-EP74-1-SLN,variant,110180,102956,12,29.9,43.36,ahscompany_sales_x_case_qty,447.72,0,520.3199999999999,358.79999999999995,True,ok,
EZ-EP74-1-W-WSLN,EZ-EP74-1-W-WSLN,variant,110180,102961,12,27.4,39.73,ahscompany_sales_x_case_qty,441.84,0,476.76,328.79999999999995,True,ok,
EZ-EP77-1-C-WSLN,EZ-EP77-1-C-WSLN,variant,110180,102960,12,32.7,47.42,ahscompany_sales_x_case_qty,500.64,0,569.04,392.40000000000003,True,ok,
EZ-EP77-1-SLN,EZ-EP77-1-SLN,variant,110180,102958,12,30.5,5.08,ahscompany_sales_x_case_qty,468.72,0,60.96,366,True,ok,
EZ-RL1-74,EZ-RL1-74,variant,112521,105880,12,7.4,10.73,ahscompany_sales_x_case_qty,113.4,81,128.76,88.80000000000001,True,ok,
EZ-RL1-77,EZ-RL1-77,variant,112521,105881,12,7.65,11.09,ahscompany_sales_x_case_qty,128.52,91.8,133.07999999999998,91.80000000000001,True,ok,
EZ-RL1-H74,EZ-RL1-H74,variant,112521,105884,12,8.65,12.54,ahscompany_sales_x_case_qty,135.24,96.6,150.48,103.80000000000001,True,ok,
EZ-RL1-H77,EZ-RL1-H77,variant,112521,105885,12,8.75,12.69,ahscompany_sales_x_case_qty,142.8,102,152.28,105,True,ok,
QIMPDDK,QIMPDDK,variant,112466,105043,6,43.75,63.44,ahscompany_sales_x_case_qty,275.52,0,380.64,262.5,True,ok,
QIMPDDQ,QIMPDDQ,variant,112466,105042,8,39.4,57.13,ahscompany_sales_x_case_qty,321.44,0,457.04,315.2,True,ok,
QIMPDDT,QIMPDDT,variant,112466,105041,10,33.4,48.43,ahscompany_sales_x_case_qty,290.92,0,484.3,334,True,ok,
SL2940M,SL2940M,variant,110191,96257,25,3.45,3.99,ahscompany_sales_x_case_qty,101.5,72.5,99.75,86.25,True,ok,
SL2940W,SL2940W,variant,110191,96256,25,2.75,3.99,ahscompany_sales_x_case_qty,96.25,68.75,99.75,68.75,True,ok,
SL2941,SL2941,product,110191,,25,1.95,2.83,ahscompany_sales_x_case_qty,107.5,0,70.75,48.75,True,ok,
SL2941-1-CT,SL2941-1-CT,variant,110191,96255,25,2,2.9,ahscompany_sales_x_case_qty,70,50,72.5,50,True,ok,
SV3C5MB-1,SV3C5MB-1,variant,110191,96258,100,2.15,3.12,ahscompany_sales_x_case_qty,301,215,312,215,True,ok,
